Titolo,Autore,Pagine,Codice
}-Guida all'agriturismo in Italia .,- Paola Mancini.,382 p.,5.5 24
Guida di Gela,"Piero. Orlandini , Dinu .Adamesteanu.",77 p.,"5,5 22"
I fiumi scendevano a oriente,Leonard Clark.,277 p.,5.5 12 Scansionato con CamScanner
I luoghi e la storia : Roma,Beppe Ceccato.,128 p.,5.5 78
I mercanti conquistano il mondo,Ludwig Berneck.,465 p.,5.5 11
}-Il Pianeta sconosciuto,Peter Kolosimo.,301 p.,"5,54"
Inghilterra del sud,Touring Club Italiano.,206 p.,(guide d'Europa). 5.5 32
Istanbul,Touring Club italiano.,159 p.,5.5 63
Italia : la Sicilia,Roberto De Gasperis.,56 p.,"5,5 23"
Italia a simposio : viaggio tra città e liriche del terzo millenio,Arturo Esposito.,304 p.,5.5 25
L'Africa : esploratori nel continente nero,Anne Hugon.,,"5,52"
L'Italia: : Umbria,Guido Venturini.,,5.5 ‘65 RESINA
La conquista del’poli,Tina Zuccoli.,,
Le grvaie: ncomnderciiali,Jean Duche.,,
Le guide di Archeo: Piramidi d'Egitto,Alberto Siliotti.,158 p.,5.5 66
Le guide di Archeo : Pompei,"Giovanna Quattrocchi , Romolo A.Staccioli",160 p.,5.5 14
}-Le guide di Archeo : Roma,"Penelope Filacchione , (et al).",161 p.,5.5 17
Le guide di Archeo : Sardegna,Massimo Botto.,159 p.,5.5 15 Scansionato con CamScanner
Le guide di Archeo : Sicilia,"Anna Maria Bisi , Pier Giovanni Guzzo , Judith Lange.",161 p.,5.5 20
Le guide di Archeo : Toscana,Giuseppe M. Della Fina.,160 p.,5.5 18
Le ricette del gambero rosso : Sicilia,Annalisa Barbaglia.,191 p.,(allegato Cd) 5.5 79
Lisbona,Touring Club Italiano.,157 p.,(guide d'Europa). 5.5 53
Londra,Touring Club Italiano.,170 p.,(quide d'Europa). 5.5 49.
Madrid,Touring Club Italiano.,159 p.,(guide d'Europa). 5.5 57
Marco Polo e la via della seta,Jean,192 p.,5.51
Mezzomondo,Folco Quilici.,148 p.,5.5 77
Monaco,"Touring Club Italiano. .- Milano : Touring. Editore, 2003.",183 p.,(guide d'Europa). 5.5 51 NESTA i
Mosca,"Touring Club «italiano. ‘.- Milano : Touring. editore, 2003. -—- 157 p. ; 22 cm. O (guide d'Europa). 5.5 54 CERTO",157 p.,O (guide d'Europa). 5.5 54 CERTO
Mosca,"Alberto Tomicio..- Padova : RADAR, 1969..=62p.s 22 cm. ia 5.5 16",62 p.,ia 5.5 16
Naufrago volontario,Alain Bembard.,245 p.,5.5 74
Nei mari del sud da Magellano a Cook,Etienne Taillemite.,192 p.,5.55
[M)-New York,Touring Club Italiano.,,(guide d'Europa). 5.5 62 Scansionato con CamScanner
Parigi,Touring Club Italiano.,204 p.,"(guide d'Europa). 5,5 50"
Passaggio a sud-est,Giorgio Moser.,183 p.,"5,5 7"
Perche l'Africa?,Kurt Lutgen.,,5.5 9
Portogallo,Touring Club Italiano.,223 p.,(guide d'Europa). 5.5 34
Praga,Touring Club Italiano.,189 p.,(guide d'Europa). 5.5 56
San Pietroburgo,Touring Club Italiano.,158 p.,(guide d'Europa). 5.5 58
Scozia e Nord Inghilterra,Touring Club Italiano.,222 p.,(guide d'Europa). 5.5 33
Siena,Chiara Stefani.,,5.5 76
Spagna. del nord,Touring Club Italiano.,269 p.,"(guide d'Euròpa).-... 5.5 40 CTGIENRICRAI ««IM}-Spagna del'iudi/ Touring Ciub Italiano. - Milano : Touring editore, 2003; :+*#07bu 22 cm. (guide d'Europa); ‘.° ‘fMl-Storia dell'Antartide. / R. Frank Jr. - Firenze : Sansoni, 1957. - 269 p._; 18 cm. 5 be71 1 l"
Svezia,Touring Club italiano.,191 p.,(guide d'Europa). 5.5 43
Turchia,Touring Club Italiano.,215 p.,(guide d'Europa). 5.5 45
Umbria,Carlo Montanaro.,257 p.,5.5 75 Scansionato con CamScanner
Vienna,Touring Club Italiano.,155 p.,(guide d'Europa). 5.5 55
Vittoria a le Mans,Bernard Clavel.,219 p.,5.5 10 Scansionato con CamScanner
Praga,Franco Cardini.,346 p.,5.5 80
Si chiamava Jugoslavia,Giacomo Scotti.,180 p.,5.5 26 CI CET[IRAN I FIT Scansionato con CamScanner ARTE 6.1
4* Rassegna Internazionale d'arte,"Luciano Caprile , Rubina Giorgi.",73 p.,6.1 100
Abbracci nell'arcobaleno : progetto per l'alfabetizzazione nel Congo,Marianna Bortoni Blasi.,108 p.,6.1 327
Abitare la periferia dell' Impero nell'800,Provincia di Trieste.,235 p.,6.1 34
Acquerellando,Raffaele Graziano.,115 p.,6.1 201
Aglo,"Giuseppe Gatto , Corradino Pellecchia , Francesco Siano.",136 p.,6.1 75
Album,Maria Russo.,,6.1 193
Antonello Da Messina,Raffaello Causa.,173 p.,6.1 267
Apparizioni a mezzogiorno.,Marco Amendolara.,112 p.,"6.1 162 l (M]-Appunti per uno Zoo /: Antonio Possenti. - Milano : Mondadori, 1998. - 72 p. ; 19 Cm piove 6.1 178"
Architetto del giardino. e del paesaggio,Pietro Porcinai.,127 p.,"6,1 122 :"
Arte del vicino oriente,Sebastiano Soldi.,192 p.,- (la grande storia dell'arte). 6.1 222
Arte dell'Antica Africa : Quando Dio abitava a Ife,Studio Contri Toscano.,191 p.,6.1 283
Arte egizia,Gloria Rosati.,192 p.,- (la grande storie dell'arte). 6.1 221
Arte etrusca,Stefano Giuntoli.,215 p.,- (la grande storia dell'arte). 6.1 224 Scansionato con CamScanner
Arte greca,Cristiana Zaccagnino.,192 p.,- (la grande storia dell'arte). 6.1 223
Arte Mercato,Mercato Red.Arte.,103 p.,6.1 192
Arte romana,Giandomenico De Tommaso.,191 p.,- (la grande storia dell'arte). 6.1 225
Arte visionaria : i pittori dell'immaginario,Adriano Antolini.,16 p.,6.1 2
Atlante nella storia dell'arte occidentale,"J. Steer _, Antony White,",335 p.,6.1 143
Auguste Macke,Anna Meseure.,95 p.,6.1 109
Bacon,David Sylvester.,189 p.,6.1 249
Balla,Maurizio Fagiolio Dell' Arco.,189 p.,6.1 254
Balthus,Giorgio Soavi.,189 p.,6.1 240
Beato Angelico,Luciano Berti.,189 p.,4 nia SSR ; 6.1 273
Bellini,Renato Ghiotto.,189 p.,PEA IRIaIO RAPITI 6.1 253
Bernini,Anna Coliva.,189 p.,6.1 297
Boccioni,Aldo Palazzeschi.,189 p.,6.1 241
Bocklin : un profeta della metafisica,Adriano Antolini.,16 p.,6.1 40
Boldini : il pittore della bella epoque,Adiano Antolini.,16 p.,6.1 41
Bonnard : il pittore della vita quotidiana,Adriano Antolini.,,; 30 cm. 6.1 43 Scansionato con CamScanner
Botticelli : la primavera,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 44
Botticelli e l 'età di Lorenzo Il Magnifico,Alessandro Cecchi.,335 p.,6.1 331
Bronzino,Andrea Emiliani.,189 p.,6.1 276
Campania Arte '74,Angelo Batti.,142 p.,6.1 349
Canaletto : ritorno del bucintoro al molo il giorno dell'ascensione,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 166
Canova,Jean Starobinski.,189 p.,6.1 298
Caravaggio,Vittorio Sgarbi.,188 p.,6.1 329
Caravaggio,Francesca Marini.,189 p.,- (i classici dell'arte). 6.1 208
-Caravaggio : l'uitimo... tempo 1606 - 1610,Redazione l'Espresso.,191 p.,6.1 275 1
Caravaggio. : la vocazione di ‘San Matteo,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 46 INGRASSA
Carmine Petti,Rosario -Dinto.,80 p.,6.1 354
Carpaccio,"Manlio Cancogni. -: Milano : Corriere della sera, 2004. — 189 p. ; 20 cm. 6.1 263",189 p.,6.1 263
}-Cellini,John Pope-Hennessy.,173 p.,6.1 301
Cezanne : dal romanticismo all'impressionismo,"Alessandra Corrias , Paolo Cajelli.",16 p.,6.1 49
Cezanne : il periodo sintetico,"Alessandra Corrias , Paolo Cajelli.",16 p.,6.1 50 Scansionato con CamScanner
Cezanne : Monte Sainte-Victoire,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 167
Chagall,Sebastiano Grasso.,189 p.,6.1 237
Chagall : Opere grafiche,Fondazione Antonio Mazzotta.,,6.1 347
Cifani,Ferdinando Bologna.,142 p.,6.1 42
Con..fronti ceramici,Vito Pinto.,,6.1 198
Constable e la nascita del naturalismo,Adriano Antolini.,16 p.,6.1 52
Corot : il più grande paesaggista francese,Adriano Antolini.,16 p.,6.1 53
Correggio,Silla Zamboni.,189 p.,6.1 268
Cosmé Tura,Eugenio Riccomini.,189 p.,6.1 291
Courbet,Pierre Courthion.,189 p.,6.1 272
Courbet : dal romanticismo al reslismo-,". Adriano Antolini.= Milano : Fabbri, 1997.",16 p.,
Cronache,"Massimo Bignardi. -icPontesagnano i cAsir, 1987... 199 p. ; 21 cm. SISRAIEOA A ARE 6.1 38 da",199 p.,SISRAIEOA A ARE 6.1 38 da
Cyber - dada,"S. Antoniou,, (etialii ce Parigi :: Gnac- inter- prise, 1998.",107 p.,6.1 35
Dalì,Ramon Gomez de la Serna.,189 p.,6.1 238
Dalì : persistenza della memoria,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 58
Daumier : un interprete del suo tempo,Adriano Antolini.,16 p.,6.1 59
David,Michel Thévoz.,191 p.,
David : Marat assassinato,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 168
De Chirico,Maurizio Fagiolo dell'Arco.,189 p.,6.1 243
De Nittis : un pugliese a Parigi,Adriano Antolini.,16 p.,6.1 63
Degas : lezioni di danza,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 169
Degas : scuola di danza,"Alessandra Corrias , Paolo Cajelli.",16 p.,6.1 64
Degas : un teatro di luci,"Alessandra Corrias. , Paolo Cajelli.",16 p.,6.1 65
Delacroix,Alberto Martini.,,
Delacroix : un gigante del colorismo,Adriano Antolini.,16 p.,6.1 66
Diario di un genio,Salvador Dalì.,202 p.,
Diego e Frida ‘,‘Jean-Marie G. Le Clézio.,,6.1 172 sit
Dipingere rotondofi,.. Arcangelo Izzo.,,6.1 93 LE NRRARA Ria
Dizionario: degli artisti,Cinzia Caiazzo.,,- (la grande storia dell'arte). 6.1 226
Dizionario delle arti figurative,Biagio Garzena.,162 p.,"6,1 179"
Donatello,Antonio Paolucci.,189 p.,6.1 296
-Duchamp,"Man Ray. -- Milano : Corriere della sera, 2004.",189 p.,6.1 255
Egon Schiele,Reinhard Steiner.,96 p.,"6.1 144 ats I N U "" Scansionato con CamScanner"
El Greco,Gianna Manzini.,189 p.,6.1 251
Emilio Longoni : catalogo ragionato,"Giovanna Ginex. -— Milano : Federico Motta Editore, 1995.",405 p.,6.1 340
Enciclopedia delle arti contemporanee,Achille Bonito Oliva.,427 p.,6.1 357 \
Ensor : un profeta in maschera,Adriano Antolini.,16 p.,6.1 68
Ermitage San Pietroburgo,Alessandra Fregolent.,150 p.,6.1 284
Estense Ducal Galleria,"Comune di Modena , Ministero per i Beni e le Attività Culturali.",48 p.,6.1 189
Fattori : il più grande dei macchiaioli,Adriano Antolini.,16 p.,6.1 71
Fontana Felice,Ugo Marano.,,6.1 188
Fontanesi : il poema della natura,"Adriano Antolini. Milano : Fabbri, 1996.",16 p.,6.1 72
Francesco Hayez :’ catalogo. ragionato,Fernando Mazzocca.,462 p.,6.1 339 SUETICO IE
Friedrich,"Roberto Massi. Milano : Corriere della sera , 2005. — 189 p. ; 20 cmeseni ii 6.1 287",189 p.,
Friedrich : paesaggista ‘dell'anima,Adriano Antolini.,,6.1 73 ci È
Futurvesuvio 1910-1924 : aspetti del futurismo in Campania,Massimo Bignardi.,147 p.,6.1 39
Gabriele D'Alma,"Provincia di Salerno , Comune di Salerno.",154 p.,6.1 187
Gauguin : da dove veniamo?come siamo?dove andiamo?,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 76
Gauguin : gente di Bretagna,"Alessandra Corrias , Paolo Cajelli.",16 p.,6.1 77
Gauguin : isole del Pacifico,"Alessandra Corrias , Paolo Cajelli.",16 p.,6.1 78 Scansionato con CamScanner
Gentile da Fabriano,Emma Micheletti.,173 p.,6.1 288
Georges De La Tour,Jacques Thuillier.,189 p.,6.1 286
Gericault,Jacques Thuillier.,189 p.,6.1 289
Gericault : romantico e realista,Adriano Antolini.,16 p.,6.1 79
Ghirlandaio,Piero Bargellini.,189 p.,6.1 292
Gioca : Mirò - Picasso,Gilda Ricci.,58 p.,6.1 328
Giorgio Galli,"Giuseppe Cappotto , Marcello Rumma.",13 p.,6.1 197
Giorgione,Virgilio Lilli.,189 p.,6.1 259
Giorgione : tempesta,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 80
Giotto : compianto su Cristo morto,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 81
Giotto : le storie francescane ad Assisi,Giuseppe Basile.,130 p.,"6.1 82 AT,"
Giovanni ‘Carnovali detto il Piccio : catalogo ragionato,Pierluigi. De Vecchi; Maria Piatto.,,6.1 336 i SERE A
Giulio Turtcato..,"Nicola Scontrino , Michele Buonomo.",94 p.,6-1:152 i
Gli anni delle meraviglie,Vittorio Sgarbi.,474 p.,6.1 356
Goya : fucilazione del 3 maggio,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 84
Goya : pittore romantico e maledetto,Adriano Antolini.,16 p.,6.1 83
Graffiti ? comunicazioni inurbane,Mariano Iodice.,117 p.,6.1 90 Scansionato con CamScanner
Graffiti : comunicazioni inurbane,Mariano Iodice.,117 p.,"6,1 90B"
Grafica e oggetti d'arte,"Enzo Biffi Gentili , (et al).",225 p.,6.1 6
Grandi Arti contemporanee : architettura musei e grandi progetti,Matteo Baborsky.,215 p.,6.1 315
Grandi Arti contemporanee : characters e disegnatori,Franco Fossati.,224 p.,6.1 310
Grandi Arti contemporanee : cinema star e protagonisti,Gabriele Lucci.,223 p.,6.1 312
Grandi Arti contemporanee : cinema storia e capolavori,Gabriele Lucci.,224 p.,6.1 313
Grandi Arti contemporanee : dagli anni settanta a oggi,Gabriele Crepaldi.,215 p.,6.1 302
Grandi Arti Contemporanee : Dai grandi Imperi alla guerra fredda,Cosimo Ceccuti.,216 p.,6.1 319
Grandi Arti contemporanee : dalle avanguardie alla Pop Art,Gabriele Crepaldi.,223 p.,6.1 277
Grandi Arti. Contemporanee : dalle superpotenze alla globalizzazione,Cosimo Ceccuti.,216 p.,
} Grandi Arti contemporanee. : graphic design segni simboli e segnali,"Andrea Rauch.- Milano : Mondadori Electa, 2005.",,6.1 306
Grandi Arti contemporanee : industrial design auto e mezzi di comunicazione,Decio Giulio Riccardo Carugati.,216 p.,6.1 304
Grandi Arti contemporanee : interior design oggetti e protagonisti,Decio Giulio Riccardo Carugati.,216 p.,6.1 303 Scansionato con CamScanner
-Grandi Arti Contemporanee : Invenzioni e Scienziati,Michéle Merger.,216 p.,6.1 322
}-Grandi Arti contemporanee : libri e scrittori,Anna De Simone.,216 p.,6.1 309
Grandi Arti contemporanee : lp cover miti in copertina,Antonio Gaudino.,215 p.,6.1 308
Grandi Arti contemporanee : manifesti Grafica e pubblicità,Beba Marsano.,216 p.,6.1 307
Grandi Arti Contemporanee : moda creazioni e stilisti,Beba Marsano.,216 p.,6.1 305
Grandi Arti contemporanee : musica classica compositori e interpreti,Antonella Gallino.,216 p.,6.1: 317
Grandi Arti contemporanee : musica jazz,Flavio Caprera.,224 p.,6.1 316
-Grandi Arti Contemporanee : opere e Protagonisti,Matteo Baborsky.,215 p.,6.1 314
Grandi Arti Contemporanee : Pop Rock,Riccardo Bertoncelli.,216 p.,6.1 318
Grandi Arti. contemporanee : scultura metamorfosi della materia,Marco Fagioli.,,"PIA 6.1 302 RAEE,"
Grandi Arti.’ Contemporanee : sfide e campioni,"Claudio ‘Ferretti. = Milano!i Mondadori Electa, 2005.",216 p.,6.1:323
Grandi Arti contemporanee : Sport,Claudio Ferretti.,216 p.,6.1 324
Grandi Arti Contemporanee : storia delle scoperte,Michéle Merger.,216 p.,6.1 321
Grandi Arti Contemporanee : televisione programmi e personaggi,Claudio Ferretti.,216 p.,6.1 311
Guttuso,Fabio Carapezza Guttuso.,219 p.,6.1 282 Scansionato con CamScanner
Hayez : pittore di storia e ritrattista,Adriano Antolini.,16 p.,6.1 86
Henri Rousseau,Cornelia Stabenow.,96 p.,6.1 142
Henry Matisse,Volkmar Esser.,95 p.,6.1 69
Hopper,Elena Pontiggia.,189 p.,6.1 248
I macchiaioli : da Firenze all' Europa,Adriano Antolini.,16 p.,6.17
I nazareni in Germania : gli impressionisti e la pittura dell'800,"Alessandra Corrias , Paolo Cajelli.",16 p.,6.1 8
I nazareni in Italia,"Alessandra Corrias , Paolo Cajelli.",16 p.,"6.l, 9"
I paesaggi dell'anima,"Raffaele Vuolo. -. Salerno Grauseditore , 2005.",32 p.,6.1 281
I preraffaeliti : arti e mestieri,"Alessandra Corrias , Paolo Cajelli.",,6.1 10 sip MI azia LE
I preraffaeliti : una. confratennitàz-:di;-cartisti gli impresionisti e la pittura dell'800,Aless ci nera Go S Cajelli.,16 p.,
Il catalogo delle mostre,"Alessandra Mami. <- Roma L'Espresso, 2004.",192 p.,6.1 232
Il cinquecento : prima parte:.,"Lucia Mannini , Susanna Burricchi.",191 p.,"-(la grande storia dell'arte). 6.1 212 {M]}-Il cinquecento : seconda parte / Lucia Mannini , Susanna Buricchi. - Roma : L'Espresso, 2003. - 191 p. ; 25 cm. - (la grande storia dell'arte). 6.1 213"
Il Gotico,"Marcella Parisi , Giulia Mazzucchi.",216 p.,- (la grande storia dell'arte). 6.1 209
Il linguaggio visuale : strumenti e tecniche,"Gillo Dorfles , (et al).",320 p.,6.1 257 Scansionato con CamScanner
Il Medioevo,"Marcella Parisi , Giulia Marrucchi.",216 p.,"- (la grande storia dell'arte). 6.1 207 inglese / Alessandra Corrias ,"
Il paesaggio nella pittura piemontese,"Alessandra Corrias , Paolo Cajelli.",16 p.,6.1 13
Il quattrocento : prima parte,Cristina Bucci.,215 p.,- (la grande storia dell'arte). 6.1 210
Il quattrocento : seconda parte,Cristina Bucci.,191 p.,- (la grande storia dell'arte). 6.1 211
Il realismo in Francia,"Alessandra Corrias , Paolo Cajelli.",16 p.,6.1 14
Il Seicento : prima parte,Chiara Laschi.,215 p.,- (la grande storia dell'arte). 6.1 214
Il Seicento : seconda parte,Chiara Lachi.,191 p.,- (la grande storia dell' arte). 6.1 216
Il Settecento : prima parte,Carlotta Lenzi Iacomelli.,215 p.,- (la grande storia dell'arte) i 6.1 217
Il Settecento-':'“seconda ‘parte,Carlotta Lenzi Iacomelli.,191 p.,- (la grande storia dell' arte). RARI 6.1 218
Impressionismo fuori-di Francia,"Alessandra Corrias , Paolo Cajelli.",16 p.,6.1:15
Impressionisti minori e compagni di strada,Adriano Antolini.,16 p.,6.1 16
...in principio era il fiore,Matteo Sabino.,107 p.,6.1 135
Informazioni commenti inchieste sui beni culturali,Istituto per i beni artistici culturali e naturali della Regione Emilia Romagna.,96 p.,6.1 199 Scansionato con CamScanner
Ingres,Emilio Radius.,189 p.,6.1 271
Ingres : bagno turco,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 88
Ingres : pittore classico e romantico,"Adriano Antolini. Milano : Fabbri, 1997.",16 p.,6.1 89
Kandinskij : primo acquerello astratto,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 94
Kandinsky,Giulio Carlo Argan.,189 p.,6.1 242
Keith Haring,John Gruen.,259 p.,6.1 85
Klee,Clement Greenberg.,189 p.,6.1 244
Klimt,"Johannes Dobai,.,",189 p.,6.1 236
}-Klimt : Giuditta I,"Federico Zeri, Marco Dolcetta.",48 p.,6.1 51
"Klimt : il cantore della-""finis Austriae""",Adriano Antolini.,,6.1 95
"L'arsenale il laboratorio, ICSEES Sta","Jaume Barrera , (et al).",,6.1 17 |
L'Elisir di Luzzati,Claudio Caserta.,96 p.,6.1 182
L'ombra e il silenzio,Marco Alfano.,124 p.,6.1 325
}-L'Ottocento : prima parte,Anna Mazzanti.,167 p.,- (la grande storia dell' arte). . 6.1 219
L'Ottocento : seconda parte,Anna Mazzanti.,191 p.,- (la grande storia dell'arte). 6.1 220 Scansionato con CamScanner
L'ultimo Bohémien,Saturnino.,,6.1 343
La casa scomparsa,Franco Piruca.,150 p.,6.1 175
La compagnia di Capitan Galletto,Giorgio Di Vita.,61 p.,6.1 227
La grande storia dell'arte : Il Medioevo,"Giulia Marrucchi , Riccardo Belcari.",430 p.,6.1 91
La memoria del tempo,Paolo Cibelli.,79 p.,6.1 346
La nuova enciclopedia dell'arte Garzanti,Lucio Felici.,1112 p.,6.1 190
La passione,Provincia di Salerno.,87 p.,6.1 204
La pittura delle gioie,Arnaldo Romano Brizzi.,17 p.,6.1 174
La pittura napoleonica,"Alessandra Corrias , Paolo Cajelli.",16 p.,6.1 33
La pittura ritrovata,Arnaldo Romani Brizzi.,,6.1 176
La scoperta dei «templi.,Alain Daniélou.,745 p.,6.1 333 e
La scultura del XX secolo,Werner Hofmann.,233 p.,6.1 330 ita viter
Laboratorio giocare:con l'arte : Antonio Masotti per Bruno Munari,"Giancarlo Bodani., Ivana Anconelli.",30 p.,6.1 96
Lautrec : il pittore del Moulin Rouge,"Alessandra Corrias , Paolo Cajelli.",16 p.,6.1 150
Lautrec : una disperata vitalità,"Alessandra Corrias , Paolo Cajelli.",16 p.,6.1 151
Le Avanguardie artistiche del novecento,Mario De Micheli.,426 p.,6.1 61 Scansionato con CamScanner
Legni parlanti : le sculture di Paolo Cibelli,Paolo Romano.,72 p.,6.1 131
Leonardo : l'ultima cena,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 97
Lo stile Vietri tra Dolker e Gambone,Pino Viscusi.,270 p.,6.1 350
Lotto,Rodolfo Pallucchini.,189 p.,6.1 247
Louvre,Corriere della Sera.,189 p.,6.1 326
Luigi Rossi : catalogo ragionato,"Matteo Bianchi , Paola Zatti.",324 p.,Di So
}-Magritte,Michel Foucault.,189 p.,6.1 239
Manet : il bar delle Folies-Bergère,"Alessandra Corrias , Paolo Carjoli.",16 p.,6.1 101
Manet : L'Olympia,"Alessandra Orrias , Paolo Cjelli.",16 p.,6.1 102
Manet : Le dejeuner sur l'herbe,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 103
Mantegna : morte della. Madonna,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 104
Masaccio,"Paolo Volponi.- Milano: Corriere della sera, 2004.",173 p.,LI i 6.1 250
Masaccio : Trinità,"Federico. Zeri , Marco Delcetta: = Milano : Rizzoli, 1998.",,6.1 106 PN
Matisse,Mario Luzi.,189 p.,6.1 246
Matisse : la danse,"Federico Zeri , Marco Dolcetta.,",48 p.,6.1 107
Mattinate fiorentine,John Ruskin.,221 p.,6.1 134
Mediterraneo Mirò,"Luigi Fiorletta , Massimo Bignardi.",190 p.,6.1 348 Scansionato con CamScanner
Memling,Maria Corti.,189 p.,"6.1 293 M]-Memling : Giudizio Universale / Federico Zeri , Marco Dolcetta. - Milano : Rizzoli, 1998. - 48 p. ; 30 cm. - ((2 copie)). 6.1 108"
Metafisica,Ester Coen.,287 p.,6.1 215 °
Michelangelo,Giulio Carlo Argan.,189 p.,6.1 295
Mimmo D'Andria,Cooperativa Variety.,,- ((2 copie)). 6.1 56
Mirò,Janis Mink.,96 p.,6.1 203
Mirò,Gillo Dorfles.,189 p.,6.1 245
Mirò : il bell'uccello rivela l'ignoto ad una coppia di amanti,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 111 i
Mobili come architettura,Stefano Casciani.,171 p.,6.1 47
Modigliani,Leone Piccioni.,189 p.,6.1 235
Monet : Cattedrale di Rouen,"Federico Zeri , Marco Dolcetta.",,6.1 112
Monet : Fiori sull'acqua:,"Alessandra Corrias , Paolo Cajelli.",,"6,1 113"
"Monet : Impressioni ""all'aria aperta""","Alessandra Corrias , Paolo Cajelli.",16 p.,6.1 114
More barocco,Lorenzo Gigliotti.,121 p.,6.1 345
Mosé Bianchi : catalogo ragionato,"Paolo Biscottini. -:-— Milano : Federico Motta Editore, 1996.",559 p.,6.1 341
Munch,Rudy Chiappini.,189 p.,6.1 258
Murillo,Juan Antonio Gaya Nuno.,189 p.,6.1 290 Scansionato con CamScanner
Neoclassicismo in Italia : due capitali Roma e Milano,"Alessandra Corrias , Paolo Cajelli.",,
"Neoclassicismo in Italia : miti, ritratti,paesaggi","Alessandra Corrias, Paolo Cajelli.",16 p.,6.1 18
Netmage,Link Project.,252 p.,6.1 191
Nicola Peccheneda,Nadia Parlante.,175 p.,6.1 185
Nuvoloso celeste,Gaetano Sinischalchi.,102 p.,- (2 copie). 6.1 200
Opera dal 1973 al 1977,Giuseppe Viola.,72 p.,6.1 163
Pablo Picasso,Ingo F. Walther.,95 p.,6.1 158
Pablo Picasso : I luoghi e i riti del mito,"Massimo Bignardi , Maria Lluisa Borràs , Luigi Fiorletta.",231 p.,6.1 355
Paolo Uccello,Luciano Berti.,189 p.,i 6.1 274
Parmigianino,Augusta Ghidiglia Quintavalle.,1829 p.,6.1 266
Parola d'artista,Ugo Marano.,187 p.,"6,1 105"
Pasquale Rotondi : quando il lavoro è un'arte,Chiara Lombardo.,142 p.,6.1 334
Paul Gauguin,Ingo F. Walther.,95 p.,6.1 159
Peccata Mundi,Maurizio Sacripanti.,75 p.,6.1 136
Pensieri sull'arte e ricordi autobiografici,Giovanni Duprè.,415 p.,6.1 194 Scansionato con CamScanner
Per amore : La raccolta Caggiano,"Edward Lucie-Smith , Alessandro Riva , Arnaldo Romani Brizzi.",197 p.,6.1 352
...per le vie del colore,Provincia di Salerno.,71 p.,6.1 180
Photography Photogrammetry in the World,Costantino Marino & company.,,6.1 344
Picasso : Guernica,"Federico Zeri , Marco Dolcetta.",48 p.,6.1 118
Picasso 1881 - 1914,Alberto Moravia.,189 p.,6.1 233
Picasso 1915-1973,Franco Russoli.,189 p.,6.1 234
Piero della Francesca,Antonio Paolucci,61 p.,6.1 202
Pissarro : i paesaggi di Pontoise,"Alessandra Corrias , Paolo Cajelli.",16 p.,6.1 119
Pissarro : vedute di città e di campagna,"Alessandra Corrias , Paolo Cajelli.",16 p.,6.1 121
Pittura americana : verso» un'arte nazionale,"Alessandra Corrias , Paolo Cajelli. .- Milano. : Fabbri, 1997",16 p.,6.1 20 :
Pittura americana : vitalità. del nuovo mondo,"Alessandra Corrias , Paolo Cajelli. ‘— Milunc:: Fabbri, 1998.",16 p.,l 6.1 21
)-Pittura di storia in Italia,Adriano Antolini.,,6.1 22
Pittura lombarda : dal romanticismo alla scapigliatura,"Alessandra Corrias , Paolo Cajelli.",,
Pittura veneta,Adriano Antolini.,16 p.,6.1 24
} -Planet,Beppe Preti.,190 p.,6.1 229 Scansionato con CamScanner
"""Rondo'' II rassegna intern.d'arte","Zimmer , (et al).",103 p.,6.1 1
Rousseau,Giovanni Artieri.,189 p.,6.1 252
Rousseau : un primitivo a Parigi,Adriano Antolini.,16 p.,6.1 132
Rubens,Justus Muller Hofstede.,189 p.,6.1 260
Rubens : giardino d'amore,"Fedrico Zeri , Marco Dolcetta.",48 p.,6.1 133
Salerno incontri d'arte,Comune di Salerno.,107 p.,6.1 36
Salvador Dalì,"Robert Descharnes , Gilles Nèret.",224 p.,6.1 67
Scoperte e testimonianze di successo,Sergio Denti.,160 p.,6.1 195
"Scuola di Barbizon Co rot, Rousseau, Decamps, Duprè","Alessandra Corrias , Paolo Caiel Vi: -=Milano : Fabbri, 1996.",16 p.,È 6.1 27
"Scuola di Barbizon : Troyor;Diax,Millet, Daubigny","Alessandra Corrias , Paolo Cajelli. Milano: Fabbri, 1996.",16 p.,È 6.1 28
Segantini : il gigante della montagna,Adriano Antolini.,,6.1 137
Segmenti eterogenei di arte nuova,Andrea Iovino.,84 p.,6.1 92
